Test(s),Current(A)
0,-1.341485075
600,-0.426516059
1200,5.552069784
1800,-6.513313964
2400,-1.732589662
3000,-4.884935957
3600,1.557705425
4200,-5.367182085
4800,9.324826794
5400,0.57049833
6000,9.198011981
6600,-4.790196432
7200,-0.451609063
7800,7.022330641
8400,-11.26142445
9000,-2.067036395
9600,0.737138541
10200,-3.608783069
10800,3.942058401
11400,0.548007817
12000,-8.988281794
12600,0.584270935
13200,-5.284637692
13800,-5.116310286
14400,4.304377774
15000,-7.812505835
15600,-1.509381378
16200,5.675585386
16800,14.24124328
17400,0.710056639
18000,-0.60074144
18600,6.914551126
19200,-0.286758082
19800,9.42830795
20400,-2.559467939
21000,0.43709723
21600,0.367964158
22200,2.581896476
22800,-2.77532479
23400,-8.780658349
24000,0.780013225
24600,-10.10134951
25200,-0.328362212
25800,-5.690118077
26400,-1.837209709
27000,2.158820087
27600,0.658748278
28200,-3.64048711
28800,4.041565816
29400,-7.704320799
30000,-5.157857274
30600,-7.449154553
31200,9.562240304
31800,-1.487739328
32400,0.453306422
33000,-2.669624976
