Test(s),Current(A)
0,-4.85383834
600,24.12999196
1200,-16.45836238
1800,29.72438614
2400,-35.9682601
3000,-0.527029212
3600,6.741225218
4200,7.120437804
4800,-17.03436224
5400,-23.48536856
6000,-5.39135463
6600,10.90093536
7200,15.19768801
7800,4.581065918
8400,22.60654256
9000,13.50810368
9600,29.03928034
10200,17.67607506
10800,19.04752589
11400,-0.324556558
12000,4.969160182
12600,6.581803796
13200,21.17226403
13800,2.989658692
14400,-14.35821276
15000,-5.879428965
15600,-25.67856122
16200,-15.37847791
16800,2.913881594
17400,-5.557429019
18000,-5.087092405
18600,28.89064261
19200,-26.68344415
19800,15.32975137
20400,3.334284086
21000,11.30066916
21600,-5.821125284
22200,10.20113428
22800,-14.98750037
23400,4.762806836
24000,-25.41167367
24600,2.239440258
25200,-19.53766785
25800,-18.09503063
26400,2.954506388
27000,1.915137959
27600,-2.338046359
28200,9.404090793
28800,6.835478507
29400,-11.17837101
30000,-15.76854165
30600,-2.089024908
31200,-26.18141319
31800,-13.05096113
32400,13.50539435
33000,-21.92407304
