Test(s),Current(A)
0,0.172117424
600,2.45212345
1200,-1.063307736
1800,-3.916921105
2400,-3.298294846
3000,-0.770813922
3600,0.489928597
4200,1.134733117
4800,0.712080881
5400,2.921998279
6000,1.210783716
6600,-0.04536399
7200,-2.243879535
7800,1.356897432
8400,-4.655685502
9000,1.069334778
9600,1.222136875
10200,1.094679098
10800,-0.799937339
11400,-3.24472757
12000,-4.66870488
12600,0.926341459
13200,0.494053604
13800,-0.813299335
14400,-0.891317536
15000,1.524105404
15600,2.739989015
16200,-3.554144987
16800,-1.756878828
17400,0.38948403
18000,0.000137217
18600,2.235376054
19200,-0.857961665
19800,0.682618566
20400,0.941398295
21000,-1.21865883
21600,2.485291277
22200,0.56543662
22800,-1.203416752
23400,-1.884798519
24000,-3.976539462
24600,4.489081232
25200,-0.714266418
25800,-0.247104465
26400,1.803474142
27000,0.496708485
27600,0.505266394
28200,-0.297762499
28800,-2.175619006
29400,-1.23852735
30000,-2.641069699
30600,-4.012408473
31200,-1.127177482
31800,-0.564095099
32400,0.828133227
33000,-2.205169159
