Test(s),Current(A)
0,2.270048695
600,3.726384936
1200,23.63332226
1800,33.71132169
2400,19.98419889
3000,-6.299508693
3600,-32.15730055
4200,40
4800,5.766731667
5400,-15.5761054
6000,-8.878929201
6600,4.139125413
7200,11.08380287
7800,-11.57426698
8400,0.118562142
9000,6.9233649
9600,25.42848798
10200,21.31393515
10800,-12.87071076
11400,9.14367651
12000,-29.46744862
12600,22.45577553
13200,28.77590434
13800,-9.445576865
14400,-40
15000,-22.3731592
15600,27.16699226
16200,22.81120356
16800,8.642686084
17400,35.52635046
18000,4.780275144
18600,5.096329122
19200,38.4323272
19800,1.430667968
20400,-40
21000,38.03551108
21600,-18.63000292
22200,23.13015476
22800,-1.924669792
23400,9.716901179
24000,31.99903932
24600,-9.42238079
25200,-0.80757127
25800,-15.80279023
26400,-40
27000,-21.82941941
27600,-2.302467159
28200,-2.365600785
28800,12.71280833
29400,-31.52632479
30000,-0.03289667
30600,7.243621818
31200,20.47342576
31800,-7.447596578
32400,17.64828546
33000,-9.170127128
