Test(s),Current(A)
0,15.55572923
600,-8.805560183
1200,0.843482795
1800,-0.070067538
2400,-3.015625785
3000,-22.55017032
3600,17.52752676
4200,10.93607058
4800,15.85960427
5400,9.89185358
6000,-2.850471791
6600,-23.147126
7200,6.193131936
7800,-16.10561467
8400,-7.223111652
9000,-12.42785382
9600,4.660494545
10200,3.058056567
10800,-8.011860657
11400,5.340543185
12000,26.62298759
12600,33.07251526
13200,-7.024041254
13800,-40
14400,7.652211418
15000,9.085832221
15600,-30.31744369
16200,-2.790954311
16800,17.85168899
17400,-14.59432536
18000,-17.8317211
18600,-0.029854397
19200,-0.53863098
19800,-2.376551229
20400,0.1702352
21000,14.47227479
21600,-8.411915821
22200,6.558606896
22800,22.60614676
23400,5.6623546
24000,24.02980614
24600,-1.648302662
25200,-2.776853848
25800,19.49143487
26400,1.773099996
27000,-15.16216018
27600,-11.17545459
28200,-23.36387162
28800,-13.00590259
29400,-9.462499283
30000,34.08613525
30600,6.531263137
31200,-29.04790871
31800,19.36847026
32400,-31.84408577
33000,6.243380541
