Test(s),Current(A)
0,6.046943604
600,7.844984143
1200,11.60500048
1800,14.48169672
2400,-18.25907454
3000,12.60555019
3600,13.97713786
4200,-21.34193572
4800,14.16719077
5400,18.39444019
6000,4.086210627
6600,0.641676934
7200,-8.791082518
7800,5.321709446
8400,-15.19151774
9000,-0.720942003
9600,-13.66456697
10200,-26.61608013
10800,12.06067927
11400,-23.404297
12000,-0.230554372
12600,-6.591119909
13200,0.764613077
13800,2.799664224
14400,-1.979686658
15000,15.84315299
15600,-3.372093776
16200,29.87100232
16800,-5.990480503
17400,-15.23102323
18000,12.89894644
18600,-11.31506693
19200,3.261524206
19800,-8.108738884
20400,21.58630816
21000,12.91786047
21600,-19.72721387
22200,-11.72531559
22800,-1.819516732
23400,-0.811029731
24000,-21.56152876
24600,-14.26692259
25200,-5.775911518
25800,-30.54512378
26400,14.8446559
27000,5.932571303
27600,-4.465611683
28200,-13.01596127
28800,-11.32398086
29400,-19.88163535
30000,-1.042176571
30600,-2.93101203
31200,-26.58655548
31800,-1.346125446
32400,-7.632421802
33000,9.085362102
