Test(s),Current(A)
0,21.21901422
600,20.42881225
1200,12.12454007
1800,-18.00621339
2400,40
3000,4.994937927
3600,27.83534873
4200,-3.394143136
4800,-10.40636251
5400,7.718020077
6000,28.24577511
6600,40
7200,-34.78888788
7800,-12.57659933
8400,-40
9000,40
9600,-31.32184435
10200,-18.73690585
10800,24.43623833
11400,-1.966952669
12000,-14.18123356
12600,29.02847928
13200,38.17261787
13800,-40
14400,38.51796153
15000,-40
15600,-33.97636447
16200,-1.573940171
16800,6.769763386
17400,-22.41031036
18000,-40
18600,36.93515146
19200,40
19800,30.13031461
20400,-16.32464059
21000,-2.056939106
21600,21.52101223
22200,-39.52517419
22800,40
23400,-37.70715821
24000,-18.78024296
24600,-18.01466182
25200,12.92573417
25800,-13.12484108
26400,-29.66590737
27000,-4.112073844
27600,40
28200,-12.07212025
28800,-1.091332382
29400,-40
30000,22.37886552
30600,8.69349213
31200,6.459506947
31800,12.64296999
32400,-40
33000,-0.95205692
