Test(s),Current(A)
0,-23.34432724
600,25.31845097
1200,40
1800,36.12844801
2400,18.97136167
3000,-19.3151141
3600,-40
4200,40
4800,6.763345434
5400,-7.295737193
6000,-7.156641674
6600,-2.877438495
7200,-32.95559492
7800,-4.096306879
8400,-37.80204317
9000,8.177319756
9600,-8.660516286
10200,15.95354621
10800,16.95198336
11400,-25.6559892
12000,-22.64925645
12600,8.177515774
13200,20.32285054
13800,27.36580651
14400,27.35936429
15000,40
15600,40
16200,23.84512428
16800,-11.02185921
17400,3.861509244
18000,4.166963921
18600,-29.62680463
19200,34.91373679
19800,40
20400,-1.799399529
21000,3.416709512
21600,-25.66961246
22200,22.29452272
22800,14.57094527
23400,2.698912153
24000,-2.824781424
24600,22.54496799
25200,23.00633164
25800,8.876688351
26400,14.25319145
27000,-28.7033793
27600,-20.72831734
28200,-25.36658607
28800,10.65455799
29400,16.14161963
30000,24.29817718
30600,3.507715146
31200,-14.91897541
31800,11.18084507
32400,25.18743877
33000,17.5386089
