Test(s),Current(A)
0,0.387433962
600,-1.328456704
1200,-3.235224497
1800,6.998866489
2400,2.32879857
3000,1.024656558
3600,-0.396484592
4200,1.186780345
4800,-2.848394671
5400,-2.825455726
6000,5.106759244
6600,1.578198163
7200,6.961375951
7800,-2.530812901
8400,4.600084296
9000,-1.834910036
9600,3.864055576
10200,8.804711092
10800,-3.26038369
11400,-2.342400955
12000,-4.249845484
12600,-5.150375122
13200,2.331060964
13800,-4.636593389
14400,-3.801343543
15000,-9.289336445
15600,-8.048768084
16200,8.493614754
16800,6.821488506
17400,3.99527012
18000,6.307054197
18600,-7.799230634
19200,4.096190627
19800,2.242172239
20400,-5.668483883
21000,-8.031632228
21600,1.485065787
22200,8.936766311
22800,5.843826303
23400,-7.754254355
24000,3.619739247
24600,8.399936591
25200,-1.337157354
25800,5.81340997
26400,0.589329071
27000,-0.490517902
27600,-2.308699879
28200,1.546958822
28800,-4.264935221
29400,0.585332806
30000,5.960244984
30600,3.472585017
31200,1.518010056
31800,-2.003456055
32400,6.23772862
33000,5.841453516
