Test(s),Current(A)
0,-7.12000507
600,-9.428934089
1200,0.345794091
1800,4.614739516
2400,2.982317929
3000,-3.736110091
3600,5.861648425
4200,-5.542026024
4800,7.477152813
5400,-0.193257449
6000,3.539374191
6600,-5.179344514
7200,-12.04278317
7800,-0.37647021
8400,-1.243902561
9000,3.956220818
9600,3.380787842
10200,5.903087204
10800,-3.207331793
11400,-3.410002893
12000,-1.635077784
12600,2.642092503
13200,-3.960396814
13800,0.485101638
14400,-0.181933134
15000,9.246276481
15600,-5.758196038
16200,1.311706851
16800,-0.036040373
17400,5.406095714
18000,6.228522394
18600,5.893186064
19200,-2.982904654
19800,-1.808431149
20400,-3.383747538
21000,-5.060623892
21600,7.887053164
22200,4.324113492
22800,0.677815082
23400,6.576475113
24000,11.33618408
24600,-0.498225518
25200,5.210096149
25800,3.846371353
26400,2.317116023
27000,0.254156373
27600,-3.668270377
28200,-0.561039436
28800,6.766424702
29400,-4.562179706
30000,-2.057485741
30600,6.336399319
31200,-3.268592168
31800,9.363923664
32400,0.276473205
33000,7.216829196
