Test(s),Current(A)
0,-40
600,-40
1200,32.06884718
1800,-40
2400,-11.93056371
3000,-19.39131884
3600,-28.8265318
4200,-19.11696226
4800,-39.41037646
5400,27.78319806
6000,-40
6600,-40
7200,14.28527246
7800,36.27967649
8400,26.4839777
9000,27.85322053
9600,-5.178748758
10200,-24.44387375
10800,6.383803418
11400,-17.87563261
12000,-2.178034333
12600,16.26296944
13200,40
13800,10.64841275
14400,40
15000,40
15600,-20.6940813
16200,32.22863292
16800,-32.33005547
17400,-4.256978206
18000,6.647205346
18600,6.434535469
19200,-7.967645025
19800,16.8585159
20400,-40
21000,-21.11676526
21600,-36.77716796
22200,8.239989299
22800,21.83112117
23400,-2.97104205
24000,-26.35762858
24600,16.6745586
25200,-40
25800,-29.99303115
26400,-40
27000,40
27600,-30.14030717
28200,-9.558309153
28800,-40
29400,-0.2054154
30000,23.55885794
30600,28.35601628
31200,40
31800,7.800938389
32400,5.668196085
33000,25.00553061
