Test(s),Current(A)
0,38.48797918
600,-19.91192322
1200,37.32351795
1800,32.94178262
2400,-40
3000,17.06698518
3600,13.54482839
4200,39.22095717
4800,-5.706923026
5400,21.2496312
6000,19.89010154
6600,29.09356106
7200,40
7800,8.119505206
8400,-31.64630503
9000,-33.80367536
9600,37.98004005
10200,11.61514227
10800,-5.95983255
11400,-40
12000,7.578805329
12600,12.54801254
13200,-36.79423602
13800,-19.01780606
14400,8.513235343
15000,10.28849635
15600,6.820061108
16200,-10.06411847
16800,-15.74933829
17400,-12.32495309
18000,-8.777886157
18600,11.54550181
19200,32.29277157
19800,10.1746225
20400,-9.952247137
21000,36.15594922
21600,28.21612811
22200,39.79114046
22800,-11.37369337
23400,-25.8988898
24000,-38.00356786
24600,40
25200,-26.61367455
25800,-6.554149442
26400,40
27000,24.42724471
27600,40
28200,0.174595146
28800,18.500023
29400,-40
30000,3.289034825
30600,11.10786574
31200,17.15755116
31800,18.662187
32400,-21.69471914
33000,33.91068722
