Test(s),Current(A)
0,-23.39818434
600,-4.381965737
1200,13.14579369
1800,-2.454055645
2400,-9.716679516
3000,7.897119693
3600,-2.902253838
4200,6.524491244
4800,3.318927681
5400,3.911301971
6000,-20.25261661
6600,12.44077007
7200,3.525937296
7800,8.370356585
8400,-5.134167675
9000,-14.46721838
9600,-5.929521484
10200,0.216902597
10800,6.932082934
11400,-20.18948096
12000,36.18749208
12600,15.55343299
13200,2.930067959
13800,38.19108345
14400,-1.465893211
15000,-1.329827001
15600,10.41369052
16200,9.97943078
16800,11.80116298
17400,24.05818808
18000,19.55075892
18600,-5.070203137
19200,2.191422251
19800,15.73781385
20400,-8.325717611
21000,5.052721793
21600,10.70508663
22200,-22.17167559
22800,9.259821857
23400,-2.219945281
24000,-7.31180074
24600,-18.66688994
25200,-2.400812417
25800,4.121169157
26400,-2.125956408
27000,-8.837405825
27600,-25.44779805
28200,8.394138263
28800,-10.02566503
29400,8.029408885
30000,-18.81658414
30600,29.9393578
31200,0.866142735
31800,20.41884833
32400,-18.6547761
33000,8.20999104
