Test(s),Current(A)
0,6.000386272
600,-9.82002159
1200,-3.429418266
1800,23.64947727
2400,-13.46225982
3000,0.278692075
3600,-19.99372585
4200,23.89617529
4800,-15.59630474
5400,-1.696455639
6000,-7.094661608
6600,6.174808448
7200,20.81108803
7800,0.263600586
8400,8.418795529
9000,-0.768795733
9600,16.18180749
10200,2.155859677
10800,4.126809648
11400,3.50393539
12000,14.78150984
12600,31.87470087
13200,18.2742679
13800,-10.70810159
14400,32.48168348
15000,7.405971443
15600,3.79337223
16200,29.65615228
16800,-16.97554619
17400,-13.37043486
18000,-23.15839595
18600,14.04558243
19200,8.068738605
19800,34.87708177
20400,-7.069917645
21000,6.377473808
21600,-30.16806696
22200,6.791051484
22800,27.25508103
23400,-16.90571901
24000,-7.143322201
24600,11.19665281
25200,1.601892033
25800,-5.955656628
26400,-19.68098933
27000,-6.779094537
27600,26.4047865
28200,-11.65034174
28800,19.13542718
29400,-7.197225226
30000,5.566113524
30600,7.774343211
31200,11.66402449
31800,-4.941749437
32400,-4.210324812
33000,-5.429282515
