Test(s),Current(A)
0,-10.12336564
600,6.299527482
1200,-9.296207144
1800,-5.824879708
2400,-6.539875253
3000,-5.193055125
3600,11.27355542
4200,-11.58685046
4800,9.286619068
5400,-19.90270138
6000,0.697366592
6600,22.66954529
7200,6.3238496
7800,16.30674344
8400,-11.39712649
9000,-15.43363973
9600,14.11044784
10200,5.759581179
10800,-10.37529596
11400,15.73627285
12000,-4.726399711
12600,17.01856355
13200,9.099389546
13800,11.75142048
14400,6.765127154
15000,13.93484752
15600,-5.13997353
16200,6.480570762
16800,-0.607591441
17400,6.364975857
18000,2.955768406
18600,23.86814247
19200,-4.487798998
19800,-2.70420869
20400,8.45472734
21000,24.11018731
21600,12.671637
22200,-10.75961147
22800,5.919737836
23400,17.9479884
24000,-7.810134475
24600,-5.785201635
25200,-31.37008957
25800,10.60413597
26400,-3.846823153
27000,26.43566567
27600,-27.62562251
28200,-7.045683117
28800,-0.526179209
29400,5.7068712
30000,34.83355732
30600,-0.982079698
31200,-13.20465396
31800,-11.00588674
32400,-14.54730822
33000,-12.84005842
