Test(s),Current(A)
0,5.028668503
600,-2.84614765
1200,-4.295930991
1800,-3.82677982
2400,2.757956145
3000,-7.786052976
3600,3.450956556
4200,5.060519854
4800,1.105221411
5400,1.039852816
6000,-6.441441877
6600,-0.688058645
7200,-1.174785357
7800,-3.655875643
8400,-1.914918012
9000,0.536347494
9600,-7.220351968
10200,-4.142620731
10800,5.513808052
11400,0.387816379
12000,-1.309423831
12600,-4.440746684
13200,-4.731490447
13800,1.023862617
14400,0.700140986
15000,0.608492079
15600,1.893699857
16200,-3.939977826
16800,4.488865126
17400,-0.013814635
18000,8.221662779
18600,-2.730775814
19200,-8.548536502
19800,-0.409505162
20400,-5.84394247
21000,7.438104084
21600,2.164172694
22200,11.70467333
22800,3.212041744
23400,1.130622724
24000,5.920863206
24600,8.963162352
25200,2.140434526
25800,-6.175470574
26400,-2.740638111
27000,-10.24307297
27600,3.112234571
28200,-8.000321648
28800,2.276935479
29400,-5.405515923
30000,-4.142466073
30600,-7.013739358
31200,-3.706923051
31800,-2.302009842
32400,7.134734214
33000,-1.854986334
