Test(s),Current(A)
0,-1.997293764
600,-5.426593101
1200,39.53124642
1800,11.94243534
2400,29.65899897
3000,9.512586848
3600,40
4200,-6.671671958
4800,-25.12810475
5400,33.69622106
6000,0.690895944
6600,-32.32483929
7200,-2.646431848
7800,-11.98052805
8400,-40
9000,9.979185574
9600,21.00556195
10200,40
10800,40
11400,20.75880008
12000,40
12600,-29.27446513
13200,35.53239073
13800,6.039485622
14400,40
15000,-36.59820468
15600,11.2013964
16200,-40
16800,-28.52904336
17400,12.29035263
18000,13.28610698
18600,-18.72794759
19200,8.844284262
19800,10.65907604
20400,-9.04229147
21000,-4.091523758
21600,-16.32816434
22200,-40
22800,34.10267131
23400,4.831312979
24000,-19.76525644
24600,-25.38744046
25200,-8.08061759
25800,26.888753
26400,38.2038265
27000,9.932320645
27600,0.75042065
28200,-24.15031699
28800,28.59579573
29400,-28.21376273
30000,-19.18847962
30600,-8.004934658
31200,-30.28920745
31800,-13.47487422
32400,-40
33000,40
