Test(s),Current(A)
0,2.077859018
600,18.44990697
1200,-13.51749251
1800,-40
2400,-9.724408661
3000,-25.63858362
3600,13.97382682
4200,-6.422745056
4800,-5.049399468
5400,32.76021317
6000,40
6600,-0.865323751
7200,-40
7800,-40
8400,-40
9000,40
9600,0.011028537
10200,9.373665912
10800,10.71859664
11400,40
12000,-40
12600,40
13200,-0.811617588
13800,-0.687296888
14400,19.22166886
15000,-40
15600,23.55666863
16200,-40
16800,9.49331171
17400,-3.730412068
18000,-13.26640338
18600,-19.05749203
19200,5.767470968
19800,9.114128683
20400,-40
21000,-27.52242644
21600,23.73423414
22200,-10.24827923
22800,-40
23400,-26.94514333
24000,-21.84217855
24600,-24.16841321
25200,39.48285889
25800,-17.84960125
26400,-29.93203491
27000,-0.774247938
27600,-40
28200,-40
28800,-2.23111129
29400,-40
30000,12.53518925
30600,5.674619342
31200,5.179566539
31800,-40
32400,-22.27165577
33000,21.06121123
