Test(s),Current(A)
0,8.593349927
600,-1.842137234
1200,-6.170200325
1800,-13.56214934
2400,-40
3000,-4.522909683
3600,31.88283191
4200,40
4800,-14.30130999
5400,13.30008156
6000,-31.40012655
6600,-33.62605405
7200,34.15613853
7800,-9.114901914
8400,-40
9000,-40
9600,31.08102772
10200,21.60102441
10800,5.380840586
11400,-10.0536415
12000,-40
12600,7.012957543
13200,9.994622441
13800,8.467537035
14400,-23.35141302
15000,-12.16920745
15600,19.68035461
16200,39.81854614
16800,17.61659317
17400,16.54997949
18000,20.98066303
18600,23.73081177
19200,-27.03686214
19800,3.067249677
20400,-28.74816302
21000,16.60227025
21600,40
22200,40
22800,18.01444573
23400,-19.03612778
24000,-4.328238812
24600,40
25200,-33.34764009
25800,-15.93199534
26400,4.213258969
27000,4.446578903
27600,25.76866692
28200,32.33090793
28800,-1.763881956
29400,-14.52771102
30000,-1.017981055
30600,-33.8561838
31200,10.0036524
31800,-20.94786642
32400,-22.94809328
33000,-28.85262396
