Test(s),Current(A)
0,-7.305348531
600,-4.91464492
1200,-40
1800,-12.62232144
2400,-6.647979042
3000,14.89052511
3600,8.417186528
4200,-31.40552272
4800,6.87128698
5400,-34.9657774
6000,40
6600,-13.39516638
7200,11.63194828
7800,-10.06077608
8400,13.28379786
9000,-19.77046496
9600,10.54147787
10200,1.937161225
10800,-23.12306331
11400,11.96805833
12000,-26.25159329
12600,-30.44568742
13200,-40
13800,26.49781609
14400,-3.295945234
15000,-40
15600,40
16200,-32.15463314
16800,-40
17400,-40
18000,14.38846455
18600,-7.938821253
19200,-16.91728282
19800,-2.890141479
20400,-6.996325619
21000,40
21600,25.96049425
22200,-17.11151422
22800,40
23400,10.71049486
24000,-40
24600,-33.70782433
25200,5.669243425
25800,-16.82109744
26400,5.880923538
27000,-20.92305928
27600,2.750787862
28200,-15.25744388
28800,-20.70389523
29400,-2.113520824
30000,-6.261431187
30600,-3.043300955
31200,-27.3396896
31800,14.56514115
32400,21.48875818
33000,-40
