Test(s),Current(A)
0,-0.857888561
600,-0.672911542
1200,2.56766078
1800,-2.991064362
2400,-5.966124069
3000,3.00269566
3600,-2.222476397
4200,-4.467172105
4800,-4.505814775
5400,-2.084134017
6000,4.682124538
6600,-1.286891562
7200,7.967139895
7800,-3.88853724
8400,-0.014366047
9000,0.528210681
9600,-2.4989783
10200,8.72268049
10800,-3.202334908
11400,5.170305281
12000,1.557065578
12600,1.754130275
13200,-4.771017839
13800,-2.929067511
14400,0.787735721
15000,6.64814199
15600,5.359408119
16200,4.186769841
16800,-4.525065467
17400,-5.071566349
18000,4.593412572
18600,-12.23585047
19200,-8.6350192
19800,1.800226465
20400,2.025122956
21000,-1.902499159
21600,10.73698958
22200,5.435737641
22800,3.22173059
23400,4.705707063
24000,0.382136744
24600,0.719376025
25200,-0.36048206
25800,-4.626718126
26400,-8.278598544
27000,-6.164679943
27600,-3.782835022
28200,-2.292743566
28800,4.623745044
29400,-1.343351856
30000,-2.241413601
30600,7.009751503
31200,6.347726452
31800,0.145046548
32400,7.297063428
33000,2.96987601
