Test(s),Current(A)
0,-7.903511552
600,-10.21416563
1200,-8.276186409
1800,-8.400044656
2400,-7.601307237
3000,-1.229152882
3600,-13.11534073
4200,17.30144119
4800,34.48680952
5400,-4.401732087
6000,-1.78316369
6600,-0.65402538
7200,8.850162661
7800,9.950500501
8400,7.287996308
9000,-6.067832619
9600,6.492566392
10200,-8.209799628
10800,-11.14847712
11400,-4.768589669
12000,-8.232472108
12600,-0.486610315
13200,-18.3722578
13800,17.6962437
14400,-8.847436767
15000,-4.618722582
15600,-25.45836073
16200,25.72299717
16800,-13.34442056
17400,7.526857421
18000,-14.33015813
18600,-3.148745727
19200,16.70089878
19800,-6.849328673
20400,12.739666
21000,2.980235799
21600,-9.302858782
22200,9.712280191
22800,0.899451722
23400,4.45588883
24000,-34.57080775
24600,-4.736383677
25200,-0.082077456
25800,-7.478948419
26400,13.10895587
27000,-31.0168495
27600,-26.88792274
28200,20.37008168
28800,2.440353879
29400,-4.522395321
30000,-19.80195707
30600,3.484786627
31200,11.78048094
31800,-2.200837777
32400,0.985305912
33000,-8.364147722
