Test(s),Current(A)
0,-0.62963482
600,10.51214676
1200,-0.358207281
1800,2.962719419
2400,-3.452343234
3000,3.49549336
3600,4.735589599
4200,1.730134903
4800,1.333142272
5400,0.892520822
6000,-3.348496421
6600,-0.031587039
7200,-0.569117073
7800,-2.677763367
8400,-2.962317701
9000,-1.122687135
9600,6.098734957
10200,-0.538179227
10800,-2.985496323
11400,4.674219735
12000,4.702346025
12600,0.772176723
13200,-6.525669191
13800,-6.602013584
14400,-0.349178956
15000,-0.4133317
15600,5.301598029
16200,-3.697485192
16800,-1.8869073
17400,1.156936799
18000,-0.779887544
18600,-9.760670384
19200,-2.224200043
19800,1.113836525
20400,1.167924682
21000,-2.017871213
21600,-3.532914114
22200,5.049243806
22800,13.11770852
23400,-0.567695884
24000,4.393813785
24600,3.793007947
25200,-2.770346958
25800,3.253113098
26400,10.60066603
27000,-0.639099768
27600,6.150659502
28200,8.403582962
28800,-5.136296508
29400,-0.416922492
30000,-2.312823462
30600,-0.415726189
31200,1.582851715
31800,-0.637262516
32400,7.321234066
33000,2.647966799
