Test(s),Current(A)
0,-40
600,28.7073543
1200,0.569995941
1800,17.86057612
2400,-14.88081495
3000,40
3600,-28.50302522
4200,-10.99622322
4800,-4.894471026
5400,-4.858190275
6000,8.24742649
6600,-15.91452194
7200,-20.10412449
7800,2.404650874
8400,-12.55672772
9000,-13.65603986
9600,-20.46297365
10200,-9.413914268
10800,40
11400,-1.802073164
12000,6.970637163
12600,-27.95814035
13200,19.96855993
13800,-38.44811406
14400,-16.3920402
15000,2.454339133
15600,-38.58213504
16200,4.485024102
16800,14.12259596
17400,15.07011742
18000,-35.68829744
18600,34.38478386
19200,14.35595845
19800,-4.672212051
20400,40
21000,-8.250230255
21600,-40
22200,21.99967132
22800,2.408893449
23400,28.01301258
24000,-13.47452599
24600,-11.41708736
25200,-12.440305
25800,-5.372466585
26400,-23.27128756
27000,30.16567681
27600,32.40059769
28200,29.53763827
28800,31.82685693
29400,32.08897522
30000,-31.45506513
30600,-21.03611232
31200,28.91805058
31800,-16.42564645
32400,10.4862792
33000,-40
