Test(s),Current(A)
0,28.73394634
600,-8.597888835
1200,-40
1800,-9.256898563
2400,-22.3778605
3000,-9.088802975
3600,39.68593941
4200,-9.292306151
4800,1.158383654
5400,-40
6000,3.864999041
6600,2.795137831
7200,-19.29364294
7800,-29.72362328
8400,-40
9000,-3.794899526
9600,-10.86556508
10200,40
10800,-36.54082563
11400,-20.57849733
12000,5.135826143
12600,-17.46771666
13200,-2.661907837
13800,-13.34119465
14400,-23.50109658
15000,-0.50244451
15600,19.22496786
16200,-13.02011396
16800,4.751992547
17400,-9.436099344
18000,39.52397812
18600,40
19200,26.10000103
19800,-4.549419998
20400,15.71976448
21000,11.8638549
21600,-40
22200,-19.24870316
22800,-7.290766767
23400,34.17939086
24000,-15.54735426
24600,-32.54782105
25200,-15.61493994
25800,-40
26400,-40
27000,17.96279749
27600,40
28200,-9.417439615
28800,40
29400,-39.24000312
30000,40
30600,0.662327198
31200,8.116948744
31800,27.93911928
32400,16.6940915
33000,40
