Test(s),Current(A)
0,-40
600,40
1200,14.42317727
1800,37.70261793
2400,-6.897642973
3000,-38.46473899
3600,-25.00252933
4200,-40
4800,-3.39881835
5400,40
6000,-25.75687942
6600,35.40046642
7200,27.40025788
7800,-25.72532638
8400,12.96232795
9000,-4.067525293
9600,-14.81192622
10200,-23.7310382
10800,34.61609006
11400,40
12000,11.817485
12600,-40
13200,21.15673134
13800,12.07731111
14400,-1.797961633
15000,-11.92099288
15600,-40
16200,34.32277742
16800,24.2811092
17400,-15.81659255
18000,-40
18600,12.90402198
19200,31.18943481
19800,-1.480128605
20400,-17.25800381
21000,-0.838677123
21600,-24.05441537
22200,27.49477473
22800,-19.37620908
23400,9.271313892
24000,-40
24600,17.67458428
25200,3.054525532
25800,26.41647551
26400,40
27000,-11.10777251
27600,40
28200,-6.258290607
28800,-2.416015463
29400,-16.74064841
30000,-31.2795924
30600,40
31200,18.80511253
31800,-35.16481669
32400,2.876021639
33000,15.1240892
