Test(s),Current(A)
0,-0.901513154
600,-9.61006182
1200,0.170413582
1800,-3.970982751
2400,10.1620551
3000,-5.31837583
3600,-6.380011681
4200,-15.58819724
4800,-1.905533493
5400,-5.585435381
6000,-1.839954692
6600,-3.860389495
7200,-5.204962878
7800,-12.39797813
8400,-0.947570812
9000,-10.17958366
9600,-0.948829516
10200,-3.312422054
10800,-6.022281875
11400,14.88677575
12000,-2.330067632
12600,0.675202477
13200,-9.918530997
13800,-6.426146693
14400,-2.397097922
15000,6.425612081
15600,8.167688228
16200,7.583112226
16800,8.408463615
17400,5.26483193
18000,1.509234628
18600,4.053379947
19200,4.730638435
19800,-5.947288991
20400,-1.220407842
21000,3.063276818
21600,-7.161694475
22200,0.498987225
22800,-6.031432422
23400,-2.970492618
24000,-4.037099081
24600,2.317784766
25200,-1.486619212
25800,-5.491981847
26400,0.835998942
27000,-8.979661266
27600,-6.302792858
28200,2.267968729
28800,-0.24226433
29400,6.831678538
30000,-4.893684473
30600,7.652282201
31200,-13.63684709
31800,0.665951332
32400,-10.68863859
33000,-10.89098011
