Test(s),Current(A)
0,-31.84441584
600,40
1200,-12.12167607
1800,35.30182407
2400,-30.16242886
3000,24.06560511
3600,-6.058478143
4200,8.20410421
4800,-5.728045404
5400,-36.35884331
6000,-39.32073657
6600,30.27667556
7200,-22.95562133
7800,24.58302922
8400,40
9000,6.01179884
9600,17.37167654
10200,34.55052089
10800,-30.32063493
11400,-10.52931867
12000,10.72992913
12600,-2.374612826
13200,19.21100597
13800,-13.06585584
14400,-13.53384774
15000,40
15600,-4.320391071
16200,-24.66813609
16800,-22.99966131
17400,2.632646676
18000,-26.00473737
18600,23.00453773
19200,-0.945706278
19800,-11.31589687
20400,-6.521386032
21000,31.81605902
21600,34.23217629
22200,12.30554086
22800,40
23400,0.634424167
24000,-24.87703083
24600,13.95271233
25200,-40
25800,40
26400,28.93563283
27000,-30.69903718
27600,5.382615241
28200,7.69428697
28800,-24.98091801
29400,24.86471922
30000,15.99264542
30600,-1.92252862
31200,-24.41627269
31800,-6.897076703
32400,-13.43578505
33000,40
