Test(s),Current(A)
0,-2.857355699
600,0.63979984
1200,5.716720668
1800,6.403313633
2400,-7.111509444
3000,-3.519294525
3600,-9.922897276
4200,-3.425099356
4800,-8.393104923
5400,3.355999488
6000,-0.041162394
6600,-0.31344344
7200,3.47592596
7800,7.220498052
8400,-3.001219333
9000,-1.902559876
9600,5.603609051
10200,0.350785737
10800,-11.07491515
11400,7.069436106
12000,3.112993861
12600,-1.529320132
13200,-4.598174063
13800,-3.910055127
14400,1.335591577
15000,0.527633242
15600,-4.252542806
16200,0.13989447
16800,9.742721527
17400,-1.466187199
18000,-0.756341598
18600,0.213139741
19200,-7.518962382
19800,3.551454109
20400,-0.949099845
21000,6.690432184
21600,-0.671301721
22200,-2.361711338
22800,-10.35575052
23400,0.02707942
24000,3.995872402
24600,-1.990403035
25200,0.813168281
25800,-0.886223494
26400,-2.718937456
27000,-0.427941706
27600,4.14866711
28200,3.020954471
28800,9.18526588
29400,6.585815245
30000,-5.233149856
30600,3.603740452
31200,6.736727683
31800,-9.216754661
32400,0.253877642
33000,-6.414389764
