Test(s),Current(A)
0,-10.16018825
600,24.81495487
1200,-20.23934594
1800,-10.36307125
2400,-30.14226404
3000,21.48459095
3600,25.97380148
4200,-29.11731484
4800,-21.58943907
5400,-6.618621408
6000,6.516466574
6600,40
7200,-23.89649569
7800,11.52398638
8400,0.051207168
9000,-18.94756383
9600,7.326084303
10200,-20.07953852
10800,-40
11400,13.78281785
12000,17.12505537
12600,-11.90162815
13200,34.88820452
13800,9.852653114
14400,8.428957778
15000,20.74650281
15600,3.372912404
16200,20.60488845
16800,12.80368156
17400,40
18000,-9.5308193
18600,22.78817853
19200,7.730295409
19800,-20.24479263
20400,-24.66235878
21000,10.48423238
21600,40
22200,26.31036185
22800,6.584110418
23400,3.874915982
24000,-11.10198755
24600,-24.21412752
25200,-15.97801215
25800,2.64022087
26400,-18.70823642
27000,39.0319918
27600,24.159415
28200,-12.59111575
28800,-3.0631423
29400,40
30000,9.853183268
30600,-29.89341459
31200,-16.51736382
31800,24.27299797
32400,-0.94078947
33000,-13.33825562
